dataset,scenario,method,final_accuracy_mean,final_accuracy_std,best_accuracy_mean,best_accuracy_std,auc_accuracy_mean,auc_accuracy_std,seeds
cifar10,cifar10_dirichlet_0.1,fedalign,0.10333333333333333,0.009712534856222314,0.17266666666666666,0.02672701504720148,0.11494736842105263,0.007616182290818713,3
cifar10,cifar10_dirichlet_0.1,fedavg,0.164,0.0017320508075688787,0.18999999999999997,0.02381176179958132,0.13174561403508772,0.012651884264353522,3
cifar10,cifar10_dirichlet_0.1,fedoui,0.18233333333333335,0.015502687938977994,0.20966666666666667,0.012055427546683406,0.14133333333333334,0.004548167368086368,3
cifar10,cifar10_dirichlet_0.1,fedoui_align,0.13833333333333334,0.036828431046317084,0.17933333333333334,0.01965536398374077,0.12310526315789472,0.012948571831108379,3
cifar10,cifar10_dirichlet_0.1,fedprox,0.165,0.002645751311064593,0.19066666666666668,0.024337899115029083,0.13226315789473683,0.012424313800254829,3
cifar10,cifar10_dirichlet_0.1_extended,fedalign,0.164,0.023430749027719956,0.19366666666666665,0.009609023536933057,0.12817514124293786,0.004871785678831678,3
cifar10,cifar10_dirichlet_0.1_extended,fedavg,0.21633333333333335,0.024419937209856482,0.2796666666666667,0.03781974792794542,0.1644406779661017,0.008890129416053832,3
cifar10,cifar10_dirichlet_0.1_extended,fedoui,0.23433333333333337,0.0631294965395205,0.282,0.026627053911388712,0.17261581920903957,0.013618172956880814,3
cifar10,cifar10_dirichlet_0.1_extended,fedoui_align,0.20433333333333334,0.034385074281340924,0.22,0.02137755832643194,0.14395480225988702,0.016857238774197262,3
cifar10,cifar10_dirichlet_0.1_extended,fedprox,0.213,0.01802775637731994,0.2773333333333333,0.039310727967481494,0.16471751412429378,0.008962209326749205,3
cifar10,cifar10_dirichlet_1.0,fedalign,0.26066666666666666,0.00814452781524708,0.264,0.013892443989449818,0.18083333333333332,0.010314491504450574,3
cifar10,cifar10_dirichlet_1.0,fedavg,0.24266666666666667,0.03453018003621373,0.25433333333333336,0.01457166199626295,0.18411403508771929,0.0068534992848111225,3
cifar10,cifar10_dirichlet_1.0,fedoui,0.23199999999999998,0.01769180601295413,0.251,0.00793725393319378,0.17724561403508768,0.008902998861900154,3
cifar10,cifar10_dirichlet_1.0,fedoui_align,0.22466666666666665,0.011718930554164626,0.24133333333333332,0.011372481406154666,0.17673684210526316,0.007502954173499922,3
cifar10,cifar10_dirichlet_1.0,fedprox,0.24366666666666667,0.031895663237081845,0.25433333333333336,0.013613718571108113,0.1843157894736842,0.007042756244004552,3
cifar10,cifar10_noisy_clients,fedalign,0.185,,0.185,,0.12907894736842107,,1
cifar10,cifar10_noisy_clients,fedavg,0.155,,0.204,,0.15286842105263157,,1
cifar10,cifar10_noisy_clients,fedoui,0.146,,0.254,,0.15426315789473685,,1
cifar10,cifar10_noisy_clients,fedoui_align,0.156,,0.223,,0.1456842105263158,,1
cifar10,cifar10_noisy_clients,fedprox,0.152,,0.205,,0.15289473684210525,,1
cifar10,cifar10_noisy_clients_extended,fedalign,0.227,0.06691038783328042,0.2926666666666667,0.023692474191889138,0.18163559322033898,0.01197761066067659,3
cifar10,cifar10_noisy_clients_extended,fedavg,0.27266666666666667,0.033501243758005936,0.31,0.012767145334803715,0.20968361581920902,0.016373763734981308,3
cifar10,cifar10_noisy_clients_extended,fedoui,0.23099999999999998,0.052716221412388777,0.31833333333333336,0.008962886439832517,0.20613276836158193,0.015489347131403533,3
cifar10,cifar10_noisy_clients_extended,fedoui_align,0.2456666666666667,0.03803068936179482,0.294,0.01946792233393179,0.18782203389830507,0.009708850509954719,3
cifar10,cifar10_noisy_clients_extended,fedprox,0.27266666666666667,0.03089228598426045,0.31,0.010148891565092228,0.20933898305084744,0.016195881974534906,3
