dataset,scenario,method,round,mean_oui,var_oui,beta_alpha,beta_beta,score_mode
cifar10,cifar10_dirichlet_0.1,fedalign,0,0.1375651041666666,0.0118636131286621,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,1,0.1918294270833333,0.0040916999181111,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,2,0.1813151041666666,0.0022746960322062,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,3,0.1483723958333333,0.0033281962076822,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,4,0.2286783854166666,0.0037346998850504,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,5,0.2536458333333333,0.0130656321843465,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,6,0.2806315104166666,0.0044924020767211,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,7,0.2645833333333333,0.0153308232625325,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,8,0.1391276041666666,0.004219643274943,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,9,0.1533528645833333,0.005584692955017,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,10,0.2255533854166666,0.0061790784200032,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,11,0.2596354166666667,0.0104902426401774,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,12,0.2205403645833333,0.006004516283671,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,13,0.2793294270833333,0.0038153330485026,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,14,0.2902994791666666,0.0056331555048624,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,15,0.2296549479166666,0.0033279021581013,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,16,0.2524088541666666,0.0052936633427937,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,17,0.2194661458333333,0.0032421112060546,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,18,0.2017903645833333,0.0047680934270222,,,none
cifar10,cifar10_dirichlet_0.1,fedalign,19,0.21181640625,0.0075105667114257,,,none
cifar10,cifar10_dirichlet_0.1,fedavg,0,0.1375651041666666,0.0118636131286621,,,
cifar10,cifar10_dirichlet_0.1,fedavg,1,0.1193033854166666,0.0010644276936848,,,
cifar10,cifar10_dirichlet_0.1,fedavg,2,0.1429361979166666,0.0015691598256429,,,
cifar10,cifar10_dirichlet_0.1,fedavg,3,0.1116536458333333,0.0020805120468139,,,
