round,client_id,n_k,oui,score_s,alignment_a,weight,update_norm,train_loss,dataset,scenario,method,seed,run_dir
0,8,22,0.36962890625,1.0,0.0,5.590848330371477e-05,0.04642050713300705,2.4129045009613037,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
0,0,233,0.06005859375,1.0,0.567726731300354,0.33675541854448793,0.5506537556648254,1.8661320721131025,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
0,13,287,0.0595703125,1.0,0.9077382683753967,0.6627896897049954,0.8015880584716797,1.4879810108125002,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
0,18,71,0.15087890625,1.0,0.0,0.00018043192338926134,0.19979000091552734,2.2028283619544875,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
0,7,86,0.205078125,1.0,0.0,0.0002185513438236123,0.1441589891910553,2.2385474637497302,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
1,4,73,0.1591796875,1.0,0.9625222086906433,0.11913187127403134,0.6184110045433044,3.861298430455874,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
1,7,86,0.185546875,1.0,0.9074521660804749,0.13232560554587447,0.6997814774513245,3.838665246963501,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
1,5,265,0.4423828125,1.0,0.9907746315002441,0.4451457622899518,1.750943899154663,2.93368549077016,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
1,16,150,0.32275390625,1.0,0.9225054979324341,0.2346249096559125,1.1261706352233887,3.0840052795410156,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
1,14,46,0.1025390625,1.0,0.88169264793396,0.06877185123422981,0.5114676356315613,4.8230735944665,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
2,0,233,0.294921875,1.0,0.8268148899078369,0.44270529426410565,0.20613552629947662,2.2511556854575487,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
2,16,150,0.42333984375,1.0,0.19925124943256378,0.06894329795865427,0.07726326584815979,2.2475095081329344,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
2,1,197,0.3203125,1.0,0.3068109452724457,0.13917968384458454,0.17092828452587128,2.315268114738658,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
2,14,46,0.46337890625,1.0,0.5974242687225342,0.06318188668592471,0.020139550790190697,2.2833834212759268,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
2,15,191,0.31884765625,1.0,0.6513665318489075,0.2859898372467308,0.13877330720424652,2.290333325950263,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
3,5,265,0.357421875,1.0,0.8766933679580688,0.4204347354371249,0.1096111536026001,2.2987205640325006,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
3,18,71,0.3828125,1.0,0.18492676317691803,0.02386218212329288,0.05022314935922623,2.3171496626356958,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
3,2,316,0.27099609375,1.0,0.9713308811187744,0.55540663087504,0.18961505591869354,2.277287434928025,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
3,12,81,0.4208984375,1.0,0.0,0.00014641815078004353,0.05458737164735794,2.289704764330829,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
3,9,83,0.28564453125,1.0,0.0,0.00015003341376226682,0.07562931627035141,2.2262215384517807,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
4,3,265,0.24853515625,1.0,0.4359418451786041,0.2936270406802218,0.1983221173286438,2.278072449846088,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
4,9,83,0.26171875,1.0,0.7352379560470581,0.15496115028738594,0.0665174350142479,2.313535489231707,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
4,0,233,0.1552734375,1.0,0.7801190614700317,0.4615297415807204,0.3117007315158844,2.1747749143404,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
4,14,46,0.30322265625,1.0,0.5637695789337158,0.06588031440145202,0.02921268902719021,2.2529981861943784,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
4,4,73,0.29052734375,1.0,0.1286562830209732,0.024001753050219902,0.029428252950310707,2.251984119415283,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
5,14,46,0.24658203125,1.0,0.0,0.00021285892186785475,0.04760868474841118,2.104378503301869,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
5,1,197,0.1201171875,1.0,0.9682286381721497,0.8835405587839186,0.4253845810890198,2.1242319042912596,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
