dataset,scenario,method,final_accuracy_mean,final_accuracy_std,best_accuracy_mean,best_accuracy_std,auc_accuracy_mean,auc_accuracy_std,seeds
cifar10,cifar10_dirichlet_0.1_extended,fedalign,0.164,0.0234307490277199,0.1936666666666666,0.009609023536933,0.1281751412429378,0.0048717856788316,3
cifar10,cifar10_dirichlet_0.1_extended,fedavg,0.2163333333333333,0.0244199372098564,0.2796666666666667,0.0378197479279454,0.1644406779661017,0.0088901294160538,3
cifar10,cifar10_dirichlet_0.1_extended,fedoui,0.2343333333333333,0.0631294965395205,0.282,0.0266270539113887,0.1726158192090395,0.0136181729568808,3
cifar10,cifar10_dirichlet_0.1_extended,fedoui_align,0.2043333333333333,0.0343850742813409,0.22,0.0213775583264319,0.143954802259887,0.0168572387741972,3
cifar10,cifar10_dirichlet_0.1_extended,fedprox,0.213,0.0180277563773199,0.2773333333333333,0.0393107279674814,0.1647175141242937,0.0089622093267492,3
cifar10,cifar10_noisy_clients_extended,fedalign,0.227,0.0669103878332804,0.2926666666666667,0.0236924741918891,0.1816355932203389,0.0119776106606765,3
cifar10,cifar10_noisy_clients_extended,fedavg,0.2726666666666666,0.0335012437580059,0.31,0.0127671453348037,0.209683615819209,0.0163737637349813,3
cifar10,cifar10_noisy_clients_extended,fedoui,0.2309999999999999,0.0527162214123887,0.3183333333333333,0.0089628864398325,0.2061327683615819,0.0154893471314035,3
cifar10,cifar10_noisy_clients_extended,fedoui_align,0.2456666666666667,0.0380306893617948,0.294,0.0194679223339317,0.187822033898305,0.0097088505099547,3
cifar10,cifar10_noisy_clients_extended,fedprox,0.2726666666666666,0.0308922859842604,0.31,0.0101488915650922,0.2093389830508474,0.0161958819745349,3
