round,participants,test_accuracy,test_loss,best_accuracy_so_far,best_round_so_far,beta_alpha,beta_beta,oui_mean,oui_var,score_mode,fit_method,dataset,scenario,method,seed,run_dir
0,"[8, 0, 13, 18, 7]",0.098,4.644876831054687,0.098,0,,,0.16904296875,0.016431260108947757,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
1,"[4, 7, 5, 16, 14]",0.115,2.294702453613281,0.115,1,,,0.24248046875,0.019042205810546876,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
2,"[0, 16, 1, 14, 15]",0.151,2.290967468261719,0.151,2,,,0.36416015625,0.0055290937423706065,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
3,"[5, 18, 2, 12, 9]",0.133,2.283415771484375,0.151,2,,,0.3435546875,0.004083466529846191,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
4,"[3, 9, 0, 14, 4]",0.091,2.2911174926757814,0.151,2,,,0.25185546875,0.0033926248550415036,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
5,"[14, 1, 19, 17, 7]",0.101,2.6162913208007814,0.151,2,,,0.23671875,0.0052550315856933595,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
6,"[13, 14, 3, 4, 6]",0.146,2.2814653930664064,0.151,2,,,0.18623046875,0.002716851234436035,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
7,"[1, 15, 8, 11, 7]",0.092,2.3044034423828124,0.151,2,,,0.18759765625,0.002559351921081543,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
8,"[10, 17, 6, 0, 12]",0.123,2.2654442138671875,0.151,2,,,0.23564453125,0.004717659950256347,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
9,"[10, 15, 4, 13, 11]",0.122,2.4670942993164062,0.151,2,,,0.22333984375,0.0059192895889282225,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
10,"[12, 8, 19, 9, 18]",0.166,2.2889459838867188,0.166,10,,,0.19033203125,0.0030811309814453127,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
11,"[14, 12, 1, 13, 15]",0.149,2.9964232788085936,0.166,10,,,0.16650390625,0.0042858123779296875,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
12,"[5, 3, 1, 8, 4]",0.096,2.306399658203125,0.166,10,,,0.16591796875,0.002877044677734375,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
13,"[11, 5, 8, 14, 19]",0.108,2.334022888183594,0.166,10,,,0.19814453125,0.0024351358413696286,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
14,"[7, 15, 4, 19, 12]",0.148,2.2857068481445313,0.166,10,,,0.203125,0.007850289344787598,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
15,"[14, 17, 18, 10, 19]",0.161,2.283550964355469,0.166,10,,,0.35439453125,0.0005548477172851562,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
16,"[15, 11, 5, 8, 14]",0.103,2.273386047363281,0.166,10,,,0.30107421875,0.004815292358398437,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
17,"[19, 7, 10, 18, 16]",0.139,2.2666722412109377,0.166,10,,,0.2525390625,0.0014604806900024414,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
18,"[17, 4, 12, 14, 16]",0.167,2.2644813842773437,0.167,18,,,0.25595703125,0.0026026248931884767,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
19,"[8, 3, 14, 13, 1]",0.185,2.230143798828125,0.185,19,,,0.23876953125,0.0037136077880859375,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
20,"[3, 19, 0, 13, 11]",0.133,2.2167342529296876,0.185,19,,,0.19384765625,0.0033382177352905273,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
21,"[2, 4, 11, 7, 9]",0.219,2.3045446166992187,0.219,21,,,0.18857421875,0.003504085540771484,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
22,"[12, 0, 3, 18, 9]",0.172,2.158759338378906,0.219,21,,,0.16015625,0.0006647109985351562,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
23,"[1, 10, 5, 14, 6]",0.145,2.384803283691406,0.219,21,,,0.1927734375,0.002205777168273926,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
24,"[1, 4, 12, 2, 16]",0.155,2.190468780517578,0.219,21,,,0.1771484375,0.003871369361877441,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
25,"[15, 13, 19, 4, 3]",0.138,2.312624816894531,0.219,21,,,0.1958984375,0.0003320455551147461,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
26,"[11, 12, 7, 1, 8]",0.163,2.1577475280761718,0.219,21,,,0.23291015625,0.005103707313537598,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
27,"[17, 13, 10, 7, 11]",0.215,2.2204511108398437,0.219,21,,,0.26298828125,0.0036155700683593753,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
28,"[0, 8, 3, 2, 1]",0.181,2.0858809509277343,0.219,21,,,0.188671875,0.002252292633056641,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
29,"[10, 15, 5, 2, 19]",0.173,2.117647705078125,0.219,21,,,0.22890625,0.0034136056900024416,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
30,"[12, 11, 17, 18, 6]",0.172,2.3643764038085937,0.219,21,,,0.19365234375,0.001977396011352539,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
31,"[9, 19, 18, 8, 1]",0.146,2.408963073730469,0.219,21,,,0.166015625,0.001170516014099121,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
32,"[14, 19, 4, 18, 8]",0.154,2.13196533203125,0.219,21,,,0.2556640625,0.0038909435272216795,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
33,"[1, 8, 19, 15, 2]",0.189,2.286596435546875,0.219,21,,,0.23310546875,0.0011047840118408204,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
34,"[19, 14, 10, 17, 2]",0.189,2.1806900024414064,0.219,21,,,0.25205078125,0.0015824317932128908,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
35,"[6, 1, 19, 16, 4]",0.166,2.3825516967773437,0.219,21,,,0.20234375,0.004889082908630371,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
36,"[10, 13, 0, 12, 14]",0.218,2.0978815002441404,0.219,21,,,0.251171875,0.0011193275451660157,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
37,"[4, 11, 16, 18, 6]",0.191,2.0712201538085937,0.219,21,,,0.28095703125,0.007175993919372559,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
38,"[13, 15, 12, 19, 6]",0.168,2.8112381591796876,0.219,21,,,0.2103515625,0.0006621360778808593,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
39,"[0, 8, 9, 3, 17]",0.152,2.1775890502929687,0.219,21,,,0.1873046875,0.007693004608154297,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
40,"[18, 8, 15, 14, 12]",0.157,2.211471740722656,0.219,21,,,0.23642578125,0.0029978036880493166,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
41,"[5, 8, 0, 19, 13]",0.2,2.0601654052734375,0.219,21,,,0.2302734375,0.002918791770935058,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
42,"[3, 4, 14, 10, 15]",0.165,2.2575877990722657,0.219,21,,,0.22529296875,0.006922793388366699,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
43,"[2, 12, 8, 6, 0]",0.165,2.0615703125,0.219,21,,,0.26826171875,0.004533123970031738,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
44,"[4, 19, 2, 12, 6]",0.181,2.184407043457031,0.219,21,,,0.295703125,0.0007837533950805664,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
45,"[5, 9, 17, 10, 12]",0.253,2.028498046875,0.253,45,,,0.3294921875,0.0018809318542480468,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
46,"[14, 15, 4, 6, 16]",0.278,2.0257514038085938,0.278,46,,,0.2771484375,0.00807626247406006,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
47,"[19, 6, 10, 9, 15]",0.189,2.5059273681640626,0.278,46,,,0.259375,0.0025470733642578127,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
48,"[8, 16, 7, 0, 3]",0.262,2.0703989868164063,0.278,46,,,0.1953125,0.008982658386230469,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
49,"[0, 2, 3, 17, 15]",0.194,2.064189758300781,0.278,46,,,0.215625,0.003496479988098145,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
50,"[12, 17, 5, 8, 11]",0.24,1.963814666748047,0.278,46,,,0.285546875,0.004123497009277344,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
51,"[2, 11, 3, 10, 12]",0.236,2.0447735900878907,0.278,46,,,0.2712890625,0.006505322456359863,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
52,"[16, 4, 6, 3, 15]",0.278,1.9097201538085937,0.278,46,,,0.2361328125,0.004099917411804199,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
53,"[2, 0, 15, 14, 1]",0.209,2.0806685180664064,0.278,46,,,0.23408203125,0.002898764610290527,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
54,"[0, 13, 14, 4, 10]",0.196,2.2888104858398437,0.278,46,,,0.28759765625,0.0034579038619995117,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
55,"[10, 19, 13, 17, 1]",0.221,2.023957702636719,0.278,46,,,0.288671875,0.0007722854614257813,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
56,"[12, 3, 13, 7, 0]",0.264,1.9686505737304687,0.278,46,,,0.238671875,0.006075429916381835,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
57,"[3, 1, 0, 4, 6]",0.181,2.1736439208984377,0.278,46,,,0.22216796875,0.0022965669631958008,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
58,"[13, 15, 6, 2, 14]",0.161,2.20393994140625,0.278,46,,,0.28896484375,0.007147121429443359,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
59,"[4, 0, 1, 19, 9]",0.15,2.0983599243164064,0.278,46,,,0.297265625,0.004267501831054688,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,1,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1
0,"[5, 1, 13, 4, 8]",0.106,2.783238037109375,0.106,0,,,0.161328125,0.0033574819564819334,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
1,"[17, 18, 13, 9, 3]",0.096,2.2887017822265623,0.106,0,,,0.1697265625,0.0018974065780639647,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
2,"[19, 10, 11, 5, 3]",0.096,2.3089124755859376,0.106,0,,,0.17685546875,0.0018550634384155273,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
3,"[10, 16, 7, 4, 12]",0.084,2.37744775390625,0.106,0,,,0.13525390625,0.002199530601501465,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
4,"[6, 3, 19, 0, 16]",0.163,2.282228454589844,0.163,4,,,0.1115234375,0.0008456230163574219,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
5,"[16, 13, 14, 18, 6]",0.122,2.78438134765625,0.163,4,,,0.134765625,0.003054976463317871,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
6,"[11, 12, 19, 2, 9]",0.201,2.2593431396484376,0.201,6,,,0.22021484375,0.007773876190185547,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
7,"[9, 14, 8, 16, 12]",0.084,2.294894287109375,0.201,6,,,0.2064453125,0.007956194877624513,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
8,"[14, 11, 8, 9, 19]",0.176,2.239348815917969,0.201,6,,,0.21572265625,0.004994082450866699,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
9,"[16, 1, 14, 7, 11]",0.103,2.4015908813476563,0.201,6,,,0.20947265625,0.006945252418518066,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
10,"[13, 9, 10, 1, 5]",0.191,2.2430667724609377,0.201,6,,,0.24404296875,0.001727867126464844,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
11,"[12, 9, 0, 11, 8]",0.186,2.242699462890625,0.201,6,,,0.25341796875,0.0024219751358032227,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
12,"[18, 6, 15, 7, 12]",0.124,2.406687255859375,0.201,6,,,0.2232421875,0.002004075050354004,none,none,cifar10,cifar10_noisy_clients_extended,fedalign,2,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2
