dataset,model,method,scenario,seed,num_clients,participants_per_round,rounds,local_epochs,batch_size,lr,momentum,mu,gamma,eta,rho,epsilon,beta_mode,probe_batch_size,oui_layer,partition,alpha,final_accuracy,best_accuracy,best_round,round_history_path,participant_rows,run_dir,auc_accuracy,mean_round_accuracy
cifar10,small_cnn,fedalign,cifar10_noisy_clients_extended,1,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.15,0.278,46,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_1,0.17099999999999999,0.17021666666666666
cifar10,small_cnn,fedalign,cifar10_noisy_clients_extended,2,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.26,0.28,52,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_2,0.19461016949152543,0.19441666666666668
cifar10,small_cnn,fedalign,cifar10_noisy_clients_extended,3,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.271,0.32,55,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_3\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedalign_seed_3,0.17929661016949153,0.17948333333333333
cifar10,small_cnn,fedavg,cifar10_noisy_clients_extended,1,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.234,0.296,45,descargas\cifar10\cifar10_noisy_clients_extended\fedavg_seed_1\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedavg_seed_1,0.19498305084745762,0.19450000000000003
cifar10,small_cnn,fedavg,cifar10_noisy_clients_extended,2,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.293,0.321,50,descargas\cifar10\cifar10_noisy_clients_extended\fedavg_seed_2\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedavg_seed_2,0.22733050847457623,0.22686666666666663
cifar10,small_cnn,fedavg,cifar10_noisy_clients_extended,3,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.291,0.313,55,descargas\cifar10\cifar10_noisy_clients_extended\fedavg_seed_3\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedavg_seed_3,0.20673728813559322,0.20663333333333334
cifar10,small_cnn,fedoui_align,cifar10_noisy_clients_extended,1,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.203,0.272,50,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_align_seed_1\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_align_seed_1,0.17802542372881355,0.1775666666666667
cifar10,small_cnn,fedoui_align,cifar10_noisy_clients_extended,2,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.258,0.301,50,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_align_seed_2\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_align_seed_2,0.19744067796610168,0.19718333333333338
cifar10,small_cnn,fedoui_align,cifar10_noisy_clients_extended,3,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.276,0.309,55,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_align_seed_3\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_align_seed_3,0.18799999999999997,0.18816666666666668
cifar10,small_cnn,fedoui,cifar10_noisy_clients_extended,1,20,5,60,1,32,0.01,0.9,0.01,1.0,1.0,1.0,0.001,beta,32,penultimate_preact,dirichlet,0.3,0.184,0.324,46,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_seed_1\rounds.jsonl,300,descargas\cifar10\cifar10_noisy_clients_extended\fedoui_seed_1,0.1912033898305085,0.1903666666666667
